,Size,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,inlet,InhalationProfile
28,9.802e-06,0.8011418598515853,0.1937035358420878,0.005154604306326852,PT010,large,30,,"0,4",0,dfp,,trapezoid
29,1.0134e-05,0.8189391421275327,0.17609508237373742,0.004965775498729825,PT010,large,30,,"0,4",0,dfp,,trapezoid
30,1.0466e-05,0.8392966758474353,0.15544476108823976,0.0052585630643250175,PT010,large,30,,"0,4",0,dfp,,trapezoid
31,1.0799e-05,0.8588655590943961,0.135488242004085,0.0056461989015189175,PT010,large,30,,"0,4",0,dfp,,trapezoid
32,1.1131e-05,0.8773791466516975,0.11802900611124603,0.00459184723705645,PT010,large,30,,"0,4",0,dfp,,trapezoid
33,1.1463e-05,0.8864492534440566,0.10847746583441029,0.005073280721533229,PT010,large,30,,"0,4",0,dfp,,trapezoid
34,1.1795e-05,0.9006044001906611,0.09497618190798868,0.0044194179013501474,PT010,large,30,,"0,4",0,dfp,,trapezoid
35,1.2128e-05,0.9086164238158094,0.0854206049798378,0.00596297120435284,PT010,large,30,,"0,4",0,dfp,,trapezoid
36,1.246e-05,0.9182161625219597,0.07690846548902679,0.004875371989013403,PT010,large,30,,"0,4",0,dfp,,trapezoid
37,1.2792e-05,0.9274096814932,0.06819934320615266,0.004390975300647342,PT010,large,30,,"0,4",0,dfp,,trapezoid
38,1.3124e-05,0.935796068265284,0.0600345647007993,0.0041693670339165555,PT010,large,30,,"0,4",0,dfp,,trapezoid
39,1.3456e-05,0.937682919649707,0.05812456103119983,0.004192519319093275,PT010,large,30,,"0,4",0,dfp,,trapezoid
40,1.3789e-05,0.9458195312563177,0.050882719624887995,0.003297749118794336,PT010,large,30,,"0,4",0,dfp,,trapezoid
41,1.4121e-05,0.9471374472072909,0.047983960689210244,0.004878592103499011,PT010,large,30,,"0,4",0,dfp,,trapezoid
42,1.4453e-05,0.9535859298801033,0.042533144972123745,0.0038809251477728685,PT010,large,30,,"0,4",0,dfp,,trapezoid
43,1.4785e-05,0.9585738209708347,0.03803941506955291,0.0033867639596123073,PT010,large,30,,"0,4",0,dfp,,trapezoid
44,1.5117e-05,0.9606942813238213,0.035985372577962686,0.003320346098216001,PT010,large,30,,"0,4",0,dfp,,trapezoid
45,1.545e-05,0.9626595911187962,0.03376288467701654,0.00357752420418719,PT010,large,30,,"0,4",0,dfp,,trapezoid
46,1.5782e-05,0.9647366903663317,0.03153503020103393,0.003728279432634462,PT010,large,30,,"0,4",0,dfp,,trapezoid
47,1.6114e-05,0.9670819623755009,0.02934674108976576,0.0035712965347333716,PT010,large,30,,"0,4",0,dfp,,trapezoid
48,1.6446e-05,0.9716745409919438,0.025406676346804418,0.0029187826612516424,PT010,large,30,,"0,4",0,dfp,,trapezoid
49,1.6779e-05,0.9727342521507212,0.02423865758121735,0.00302709026806153,PT010,large,30,,"0,4",0,dfp,,trapezoid
50,1.7111e-05,0.9765083608153067,0.020789446922261014,0.0027021922624322404,PT010,large,30,,"0,4",0,dfp,,trapezoid
