,Size,nozzle,inlet,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,InhalationProfile
62,2.1097e-05,0.0002450733958916,0.0003016287949436,0.9670173915509525,0.03256122785329903,0.000421380595748492,PT010,large,15,,"0,4",0,nondfp,trapezoid
63,2.143e-05,0.000150686565718,0.0002448656692917,0.9676368969157616,0.03191568691256688,0.000447416171671454,PT010,large,15,,"0,4",0,nondfp,trapezoid
64,2.1762e-05,0.0001506468398686,0.0003766170996717,0.9702195308423237,0.02930718541800647,0.00047328373966964516,PT010,large,15,,"0,4",0,nondfp,trapezoid
65,2.2094e-05,0.0002071784182869,0.0002260128199493,0.9711841406572662,0.02803705233347089,0.000778807009262908,PT010,large,15,,"0,4",0,nondfp,trapezoid
66,2.2426e-05,0.0002449625647602,0.0002261192905479,0.9751537935748462,0.024025974025974006,0.0008202323991797115,PT010,large,15,,"0,4",0,nondfp,trapezoid
67,2.2758e-05,0.0001317762815243,0.0001506014645992,0.977827026790978,0.021485185266053756,0.0006877879429681856,PT010,large,15,,"0,4",0,nondfp,trapezoid
68,2.3091e-05,0.0001129234628669,0.0001129234628669,0.9783706070287542,0.020702875399360925,0.000926517571884886,PT010,large,15,,"0,4",0,nondfp,trapezoid
69,2.3423e-05,0.0002257789370454,0.0001505192913636,0.9815331081509078,0.01782589229730542,0.0006409995517866365,PT010,large,15,,"0,4",0,nondfp,trapezoid
70,2.3755e-05,0.0001128937167886,0.0001881561946477,0.9816753671293612,0.01753427330593072,0.0007903595647080605,PT010,large,15,,"0,4",0,nondfp,trapezoid
71,2.4087e-05,9.404978376858464e-05,7.523982701486771e-05,0.9835015564525498,0.01581926233794965,0.0006791812095005163,PT010,large,15,,"0,4",0,nondfp,trapezoid
72,2.4419e-05,0.0001505051334003,1.88131416750404e-05,0.9856280855274278,0.013795940800961588,0.0005759736716106531,PT010,large,15,,"0,4",0,nondfp,trapezoid
73,2.4752e-05,5.641501389425541e-05,3.761000926283695e-05,0.9870141272976668,0.01269612706394442,0.0002897456383887687,PT010,large,15,,"0,4",0,nondfp,trapezoid
74,2.5084e-05,5.64033466873897e-05,7.520446224985294e-05,0.9870778595445752,0.012509457327107865,0.00041268312831694746,PT010,large,15,,"0,4",0,nondfp,trapezoid
75,2.5416e-05,3.7572562010008016e-05,1.8786281005004008e-05,0.9884649362668799,0.010954524420512339,0.0005805393126076757,PT010,large,15,,"0,4",0,nondfp,trapezoid
76,2.5748e-05,1.879087014878423e-05,0.0,0.9895464327078694,0.010130773052706194,0.0003227942394243394,PT010,large,15,,"0,4",0,nondfp,trapezoid
77,2.6081e-05,9.391729020767804e-05,7.513383216614242e-05,0.9895373509223515,0.010023656808656233,0.0004389922689921926,PT010,large,15,,"0,4",0,nondfp,trapezoid
0,5e-07,0.1023422898514973,0.0,0.01839218329860271,0.9816078167013973,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
1,8.3221e-07,0.093411154003241,0.0,0.02177366345311127,0.9782263365468887,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
2,1.1644e-06,0.0828001334244057,0.0,0.022751562002981583,0.9772484379970184,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
3,1.4966e-06,0.0677768189911179,0.0,0.026918763040891122,0.9730812369591089,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
4,1.8289e-06,0.055687280110743,0.0,0.03257172755008327,0.9674282724499168,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
5,2.1611e-06,0.0476049978192267,1.924211714600919e-05,0.033726322273746084,0.9662736777262539,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
6,2.4933e-06,0.0380829412967887,1.917570055226017e-05,0.03681123184921601,0.9631310702952209,5.769785556303491e-05,PT010,large,30,,"0,4",0,dfp,trapezoid
7,2.8255e-06,0.0302929894095607,3.823263282653856e-05,0.04025455722144293,0.9597454427785571,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
8,3.1577e-06,0.025391394985117,9.538465433928257e-05,0.048388244301427324,0.9516117556985727,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
9,3.4899e-06,0.0211349472660922,0.0001334036346822,0.05193265354517413,0.9480673464548258,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
10,3.8221e-06,0.0167261840577963,0.0001522292064418,0.05348817495973534,0.9465118250402647,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
11,4.1544e-06,0.013376824889883,0.0001710105454672,0.061717843779799636,0.9382821562202003,0.0,PT010,large,30,,"0,4",0,dfp,trapezoid
12,4.4866e-06,0.0104593111913997,0.0001708417435981,0.07461672811954187,0.925286241024646,9.703085581214832e-05,PT010,large,30,,"0,4",0,dfp,trapezoid
